,id,raw,timestamp,level,service,message,attributes,line_no,level_display
0,727a067c49fa,STANDARD OPERATING PROCEDURE,2026-03-09T13:15:44.888415,INFO,unknown,STANDARD OPERATING PROCEDURE,{'source': 'SOP-003-High-500-Error-Rate.txt'},0,🟢 INFO
1,bd953ecdd521,SOP-003: High HTTP 500 Error Rate Investigation,2026-03-09T13:15:44.889926,INFO,unknown,SOP-003: High HTTP 500 Error Rate Investigation,{'source': 'SOP-003-High-500-Error-Rate.txt'},1,🟢 INFO
2,4496b3332c0e,Version: 3.0 | Owner: Application-SRE | Last Updated: 2024-01-20,2026-03-09T13:15:44.889926,INFO,unknown,Version: 3.0 | Owner: Application-SRE | Last Updated: 2024-01-20,{'source': 'SOP-003-High-500-Error-Rate.txt'},2,🟢 INFO
3,8475585c0414,Severity: P1/P2 | MTTR Target: 20 minutes,2026-03-09T13:15:44.889926,INFO,unknown,Severity: P1/P2 | MTTR Target: 20 minutes,{'source': 'SOP-003-High-500-Error-Rate.txt'},3,🟢 INFO
4,b987943e5cd4,================================================================,2026-03-09T13:15:44.889926,INFO,unknown,================================================================,{'source': 'SOP-003-High-500-Error-Rate.txt'},4,🟢 INFO
5,59c3670aebb0,1. OVERVIEW,2026-03-09T13:15:44.889926,INFO,unknown,1. OVERVIEW,{'source': 'SOP-003-High-500-Error-Rate.txt'},6,🟢 INFO
6,bb8c5713ba40,-----------,2026-03-09T13:15:44.889926,INFO,unknown,-----------,{'source': 'SOP-003-High-500-Error-Rate.txt'},7,🟢 INFO
7,fe4a716c36ac,This SOP guides the investigation of sudden spikes in HTTP 500 Internal,2026-03-09T13:15:44.889926,INFO,unknown,This SOP guides the investigation of sudden spikes in HTTP 500 Internal,{'source': 'SOP-003-High-500-Error-Rate.txt'},8,🟢 INFO
8,5e3a74c919d9,Server Errors. A 500 error rate above 5% is P2; above 25% is P1.,2026-03-09T13:15:44.889926,INFO,unknown,Server Errors. A 500 error rate above 5% is P2; above 25% is P1.,{'source': 'SOP-003-High-500-Error-Rate.txt'},9,🟢 INFO
9,60fe0c5a9134,500 errors indicate server-side failures and directly impact user experience.,2026-03-09T13:15:44.890436,INFO,unknown,500 errors indicate server-side failures and directly impact user experience.,{'source': 'SOP-003-High-500-Error-Rate.txt'},10,🟢 INFO
10,fb16dc5bd3fb,Key Principle: Work from symptom → layer → component → root cause.,2026-03-09T13:15:44.890436,INFO,unknown,Key Principle: Work from symptom → layer → component → root cause.,{'source': 'SOP-003-High-500-Error-Rate.txt'},12,🟢 INFO
11,1733f9f77633,Do NOT restart services without first identifying the cause.,2026-03-09T13:15:44.890436,INFO,unknown,Do NOT restart services without first identifying the cause.,{'source': 'SOP-003-High-500-Error-Rate.txt'},13,🟢 INFO
